ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,REGISTRO,ENDERECO,NUMERO,BAIRRO,REFERENCIA
137,-46.406974,-23.564188,355030825000002,3550308005269,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CONJ RESID DE GUAIANAZES,6089-5,AV DR GUILHERME DE ABREU SODRE,,GUAIANAZES COHAB,ES DO IGUATEMI
81,-46.528079,-23.601000,355030872000144,3550308005158,74,SAO LUCAS,29,VILA PRUDENTE / SAPOPEMBA,Leste,Leste 1,AMAZONIA,6091-7,RUA NUBIA,22.000000,VL TOLSTOI,TV AV CIBELE DE CARVALHO
659,-46.493285,-23.559209,355030824000133,3550308005150,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,VILA MATILDE,6092-5,RUA PEDRO LUIZ DE SOUZA,,JD BRASILIA,PC JDIM BRASILIA
521,-46.790118,-23.686603,355030843000146,3550308005293,42,JARDIM ANGELA,18,M BOI MIRIM,Sul,Sul 2,ESTRADA DA MOENDA VELHA,6093-3,ES DA MOENDA VELHA,87.000000,JD INDEPENDENCIA,PONTO FINAL DO ONIBUS V VELHO
634,-46.519577,-23.611947,355030876000139,3550308005160,76,SAPOPEMBA,32,SAPOPEMBA,Leste,Leste 1,MARIA TEREZA,6095-0,RUA SERRA DE ITABAIANA,866.000000,PQ STA MADALENA,TV RUA PRIMAVERA DE CAIENA
388,-46.407661,-23.506975,355030884000072,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,PARQUE SANTA RITA,6096-8,RUA ANAJATUBA,777.000000,PQ STA RITA,P.FINAL ONIBUS JD.DOS IPES
833,-46.681079,-23.671197,355030816000026,3550308005172,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,VILA SAO PEDRO,6097-6,PC ALEXANDRE N AKSAKOF,,VL SAO PEDRO,ACHAR DOMINGOS BUENO
649,-46.763562,-23.685690,355030843000159,3550308005227,42,JARDIM ANGELA,18,M BOI MIRIM,Sul,Sul 2,VILA SANTA LUCIA,6098-4,RUA CARMELO CALI,S/N,VL STA LUCIA,TV ES M BOI MIRIM JD ANGELA
627,-46.592048,-23.448726,355030881000077,3550308005134,83,TREMEMBE,6,JACANA / TREMENBE,Norte,Norte 2,JARDIM JOAMAR,6099-2,RUA JOSINO VIEIRA GOES,S/N,JD JOAMAR,TV ES PIQUERI
404,-46.487470,-23.597967,355030873000060,3550308005154,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,MATEO BEI,6100-0,RUA OSVALDO NEVOLA,,SAO MATHEUS,TV AV MATEO BEI
96,-46.772070,-23.654916,355030819000246,3550308005230,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM IPE,6101-8,RUA GASTAO RAUL DE FONTON BOSQUET,,JD IPE,GASTAO RAUL FOURTON BOUSQUET
789,-46.742637,-23.614140,355030894000190,3550308005178,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,PORTAL DO MORUMBI,6104-2,RUA ISAAC ALBENIZ C/ FRANCO ALFANO,1057.000000,MORUMBI,AV JUARES TAVORA
798,-46.454640,-23.551568,355030837000223,3550308005202,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CARMOSINA,6105-0,RUA SAO FELIX DO PIAUI,14.000000,VL CARMOSINA,TV R F XAVIER ANT D JULIA
374,-46.448897,-23.494850,355030874000120,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,SAO MIGUEL,6106-9,RUA SILVIO CERVELLINI,37.000000,SAO MIGUEL,PROX.IGREJA VELHA S.MIGUEL
630,-46.422128,-23.508874,355030884000026,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,FLAMINGO,6107-7,AV FLAMINGO,21.000000,VL CURUCA NOVA,PT FINAL ON CURUCA VELHA
230,-46.515602,-23.586515,355030804000110,3550308005151,04,ARICANDUVA,26,ARICANDUVA I FORMOSA I CARRAO,Leste,Leste 1,JARDIM IVA,6108-5,RUA ROMILDO FINOZZI,S/N,JD IVA,ES BARREIRA GRANDE ALTURA 3120
151,-46.710933,-23.727337,355030823000057,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM DAS IMBUIAS,6111-5,RUA JOSE LUIZ MONTEIRO,5.000000,JD IMBUIAS,MURO DA EEPB MADAME PERILLIER
285,-46.519905,-23.605169,355030876000144,3550308005160,76,SAPOPEMBA,32,SAPOPEMBA,Leste,Leste 1,IGUACU,6114-0,RUA JOSE DOMINGUES DE PONTES,101.000000,JD ANGELA,COM RUA FIORAVANTE ZAMPOL
183,-46.662315,-23.686410,355030822000340,3550308005168,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,JARDIM NITEROI,6118-2,RUA EDUARDO PEREIRA RAMOS,S/N,JD NITEROI,MONS MAGGI E 14 ABRIL
840,-46.440107,-23.549178,355030847000037,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,ZONA LESTE,6122-0,RUA ANTONIO CRESPO,S/N,COHAB II,E SABADO D'ANGELO
41,-46.737832,-23.407021,355030861000025,3550308005242,62,PERUS,1,PERUS,Norte,Norte 1,VILA MALVINA,6123-9,RUA TIBURNO,S/N,VL MALVINA,
758,-46.463779,-23.520107,355030837000205,3550308005199,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,VILA RAMOS,6128-0,AV AUGUSTO ANTUNES,S/N,VL RAMOS,
